abstract,authors,n_citation,references,title,venue,year,id
"The Julia programming language is gaining enormous popularity. Julia was designed to be easy and fast. Most importantly, Julia shatters deeply established notions widely held in the applied community: 1. High-level, dynamic code has to be slow by some sort of law of nature 2. It is sensible to prototype in one language and then recode in another language 3. There are parts of a system for the programmer, and other parts best left untouched as they are built by the experts. Julia began with a deep understanding of the needs of the scientic programmer and the needs of the computer in mind. Bridging cultures that have often been distant, Julia combines expertise from computer science and computational science creating a new approach to scientic computing. This note introduces the programmer to the language and the underlying design theory. It invites the reader to rethink the fundamental foundations of numerical computing systems. In particular, there is the fascinating dance between specialization and abstraction. Specialization allows for custom treatment. We can pick just the right algorithm for the right circumstance and this can happen at runtime based on argument types (code selection via multiple dispatch). Abstraction recognizes what remains the same after dierences are stripped away and ignored as irrelevant. The recognition of abstraction allows for code reuse (generic programming). A simple idea that yields incredible power. The Julia design facilitates this interplay in many explicit and subtle ways for machine performance and, most importantly, human convenience.","['Jeff Bezanson', 'Alan Edelman', 'Stefan Karpinski', 'Viral B. Shah']",171,"['20112a2b-2236-49bb-a48c-c190e374042b', '25039ede-c0a7-4966-9a94-80cbfad176d9', '30577785-43de-4a11-b5f8-d460cd2944ec', '5d3c1e57-2762-48c2-b5a7-edf23e52fea9', 'a6184e7c-f9f4-40d2-aba6-5b8d92702dad', 'ac21c3ac-1876-46d0-8450-5375bb56a509', 'c036912f-ac89-48b8-85b4-ceff1d08e32a', 'e9f19407-01a7-40c5-9e21-9ed5a206cc09', 'f273ad5f-d404-49f1-812b-1ce3fb362185', 'f5f70a47-6d57-4c98-8501-c5635dc6f0ae']",Julia: A fresh approach to numerical computing,Siam Review,2017,53613f05-249f-44ff-ae62-584a03a020bd
"During recent years, the practice of adding game design to non-game services has gained a relatively large amount of attention. Popular discussion connects gamification to increased user engagement, service profitability, goal commitment and the overall betterment of various behavioral outcomes. However, there is still an absence of a coherent and ample body of empirical evidence that would confirm such expectations. To this end, this paper reports the results of a 2 year (1 + 1 year â€“ between-group) field experiment in gamifying a service by implementing a game mechanic called â€˜badgesâ€™. During the experiment a pre-implementation group (N = 1410) was monitored for 1 year. After the implementation, the post-implementation (the gamified condition) group (N = 1579) was monitored for another full year. Results show that users in the gamified condition were significantly more likely to post trade proposals, carry out transactions, comment on proposals and generally use the service in a more active way.",['Juho Hamari'],97,"['02e66f34-aebb-4a86-aa54-d0579eb55303', '123c0f7a-4341-4a95-bb80-824a969eda20', '25771b81-f3bd-4548-b00b-14495dcd8d46', '410ae6f7-3a7f-4cdd-ab0b-d2899b456f3d', '44b0c0ea-5485-44c1-b0df-95969979538c', '4b0471a4-c470-4088-a47c-a4c71e4f7791', '5065a688-aab6-4f5a-9d07-87ba6f94e12e', '57042ee5-b453-4922-9ca1-ee907be54d31', '74b7e539-e53c-49ef-b6e8-677a1c31c66f', '88ec62ec-1119-47df-aca9-f768a2e95938', '919fe77c-eef7-412a-a7cf-e19c70b249fa', '97d6aa0b-09b4-4db7-a49e-0c8ff038485a', '9d912297-e52f-4ab6-add4-633e0f263933', 'ad34ea29-5a2d-47d2-83f4-7e61fe42e5d4', 'b584d0f7-d152-47a5-9825-d303afe88742', 'b6cb049a-5fb6-40fb-a377-8a539998c0ac', 'cd560d73-66db-4e21-8be1-5cd0481dbd88', 'd81f628e-95cc-4093-8c94-376152e875fc', 'e4fe8ca2-d490-46d0-8aef-1ccaa3f373fa', 'fce452bc-edff-4721-8844-7d52c43acc09', 'fdf84179-5bc2-4f1c-8fc5-baf827ae3d83']",Do badges increase user activity? A field experiment on the effects of gamification,Computers in Human Behavior,2017,556ca0d4-e7b7-4f33-94d7-8c9cc43854bc
"In this paper, we prove the complexity bounds for methods of Convex Optimization based only on computation of the function value. The search directions of our schemes are normally distributed random Gaussian vectors. It appears that such methods usually need at most n times more iterations than the standard gradient methods, where n is the dimension of the space of variables. This conclusion is true both for nonsmooth and smooth problems. For the later class, we present also an accelerated scheme with the expected rate of convergence O(n[ exp ]2 /k[ exp ]2), where k is the iteration counter. For Stochastic Optimization, we propose a zero-order scheme and justify its expected rate of convergence O(n/k[ exp ]1/2). We give also some bounds for the rate of convergence of the random gradient-free methods to stationary points of nonconvex functions, both for smooth and nonsmooth cases. Our theoretical results are supported by preliminary computational experiments.",['Yurii Nesterov'],142,"['0a0d61c5-e2c7-461a-88d3-f3974a1e99ad', '1146903c-210a-4601-a56b-c051276d4ec1', '23cf01b2-a2fb-4724-9ad4-7521d43b2007', '37aa8c77-27d6-49a5-aaf7-3e4775bea330', '42823f7b-15a9-47b0-b349-91f51f18954a', '4e82a499-a005-4253-91ce-9a369f4c9ade', '772ef2c4-51f0-4cc6-ba05-6c85ebbc913a', 'e9806e85-6712-4be3-b524-29afb97f6118', 'efedc9f9-58b8-4b31-b77a-48b52b85c9ea']",Random gradient-free minimization of convex functions,Foundations of Computational Mathematics,2017,b3d9d19f-427b-45ce-a0c3-c3f1c4971e90
"We propose a unified approach for bottom-up hierarchical image segmentation and object proposal generation for recognition, called Multiscale Combinatorial Grouping (MCG). For this purpose, we first develop a fast normalized cuts algorithm. We then propose a high-performance hierarchical segmenter that makes effective use of multiscale information. Finally, we propose a grouping strategy that combines our multiscale regions into highly-accurate object proposals by exploring efficiently their combinatorial space. We also present Single-scale Combinatorial Grouping (SCG), a faster version of MCG that produces competitive proposals in under five seconds per image. We conduct an extensive and comprehensive empirical validation on the BSDS500, SegVOC12, SBD, and COCO datasets, showing that MCG produces state-of-the-art contours, hierarchical regions, and object proposals.","['Jordi Pont-Tuset', 'Pablo Arbelaez', 'Jonathan T. Barron', 'Ferran Marques', 'Jitendra Malik']",61,"['1214ddf6-50ce-4893-adb9-2917a381d85b', '176a7436-78ea-4c2a-82e6-7930ab023bd1', '1bbaae78-1bb8-4184-b01c-4216e6879c56', '1d8ee994-4812-4b41-aacf-3fbcacd1b463', '2b2dcade-5be5-4835-9c91-99b4f46aaee9', '2c9215ba-a81e-4b11-b9fd-4e8976d87dbe', '309f11f3-0575-4787-9f2d-d3888c5db5b1', '31aebe02-5e72-4641-985c-1ad6e1dcfa49', '37239af4-60de-4422-a8f2-e5c5d3328e72', '37b7b3cf-3f16-4112-88cc-1e887672098f', '414732f4-8fd6-4fdb-9039-553367150535', '416bd4e9-b3ed-40f1-804a-ac926263d2e9', '45beeef2-a57d-436d-8fc4-56136234b4b9', '50deb9e0-e10b-40bd-a73f-c544285457e3', '50deff86-c636-47d7-8c7b-526b536d428c', '5700170c-68b7-48ce-8194-2daa5444b380', '574fb559-b34b-4578-a013-c7b31ad910a0', '5986f96a-d1de-442d-9208-0bfbcde00b5a', '5a7c9d23-6d10-431b-92af-541e4bbb86e3', '5c711b5d-fa38-4a5b-91b7-c1c3ecb35ba1', '6084bb4b-fea9-40df-ad21-723aec06f45c', '6d5985ab-a8a9-4473-842b-0956ba1beded', '7175bcf0-a1a7-44e5-b19a-854d026f05e1', '730ae01a-31cc-4d19-afb4-86bdaafa61c0', '7c53900b-0697-4120-8ea0-5fe8c4ada02f', '8b8a2247-bd77-4736-b493-449734f56b9a', '8c1a48b4-5ff9-4f68-8f30-403c26c130de', '946b3ff3-1c0a-4c01-8f59-603ddf36d46e', '95c111f4-55d0-455e-884a-4485ff03b494', 'a0a69af2-8b51-455e-bbac-a1aa5b24bd8b', 'a4382b8f-f7fd-4d84-93ba-04c068c9abf0', 'c721f8ee-58f3-4da3-8e00-92243a3d5311', 'c7def717-ad62-4168-9ae3-5484a67399c1', 'd1e115ed-43d0-4f62-a01f-e7a47744e608', 'dd83785a-dd19-41e3-9b25-ebabbd48d336', 'e39211aa-1fef-4962-a561-02072ae48c68', 'e7f6e82d-380c-427b-98bc-5c79471a7336', 'e81865db-d005-4891-9263-45e7f34ab15a', 'eda95fbf-0e3a-480f-9f82-d83d3f76ae65', 'f1639cc6-356f-4170-9dea-9be79c84f899', 'f2215507-db87-4b3b-bf11-b3f3e78c2205', 'f2d49150-35de-4fd5-ac46-eb071d1cc73e', 'f92350aa-bbb5-47c4-a132-d1b8c98b5f2e']",Multiscale Combinatorial Grouping for Image Segmentation and Object Proposal Generation,IEEE Transactions on Pattern Analysis and Machine Intelligence,2017,f4538dee-f8bd-45f1-9c4f-aa488524f5c2
"We develop a model of many-to-many matching with contracts that subsumes as special cases many-to-many matching markets and buyerâ€“seller markets with heterogeneous and indivisible goods. In our setting, substitutable preferences are sufficient to guarantee the existence of stable outcomes; moreover, in contrast to results for the setting of many-to-one matching with contracts, if any agent's preferences are not substitutable, then the existence of a stable outcome can not be guaranteed.","['John William Hatfield', 'Scott Duke Kominers']",87,"['39f80eeb-0674-41ed-bd38-5c9b4b930413', '3c98e13f-4104-4498-a6f1-044fb8f965fa', '462f6079-ac51-4075-a9c8-8b2eebf6f46e', '624311a7-0fae-4abc-ae30-c38e8eb4ff25', '6a968806-7e24-4c25-a7ed-142dcd754cb8', '6f70e417-8b17-4cb3-8c77-92ee9fc5eef1', '7804b59b-612d-41d3-8685-c199d85e1b1a', '8a5b194e-3ae7-4ed3-be14-9d6f9d1ea9ae', 'be4d7b64-7a5b-4276-a761-f4fea3bad208', 'c555a754-37d5-49f7-82ef-0860219e0933', 'cde5a60b-42f1-4260-adf0-c363636f4fae', 'daca4cca-900c-408f-b795-1438e9b6e6dd', 'e13815ea-9ded-48df-8934-d355be1da60c']",Contract design and stability in many-to-many matching,Games and Economic Behavior,2017,1dd35efa-0278-4b81-b914-35e5a4e70786
"Leave-one-out cross-validation (LOO) and the widely applicable information criterion (WAIC) are methods for estimating pointwise out-of-sample prediction accuracy from a fitted Bayesian model using the log-likelihood evaluated at the posterior simulations of the parameter values. LOO and WAIC have various advantages over simpler estimates of predictive error such as AIC and DIC but are less used in practice because they involve additional computational steps. Here we lay out fast and stable computations for LOO and WAIC that can be performed using existing simulation draws. We introduce an efficient computation of LOO using Pareto-smoothed importance sampling (PSIS), a new procedure for regularizing importance weights. Although WAIC is asymptotically equal to LOO, we demonstrate that PSIS-LOO is more robust in the finite case with weak priors or influential observations. As a byproduct of our calculations, we also obtain approximate standard errors for estimated predictive errors and for comparison of predictive errors between two models. We implement the computations in an R package called loo and demonstrate using models fit with the Bayesian inference package Stan.","['Aki Vehtari', 'Andrew Gelman', 'Jonah Gabry']",94,"['2c510057-8fe6-4b24-ab00-5c13273e370b', '5c363fda-d773-40d0-950b-4beeca685865', '71ee7b4c-e336-49e6-8be1-9f7f07df0cac', '71f41740-bdf7-48bd-926e-ee5746e3ef82', '75d9b110-a3e7-4341-b3a8-88fbff6f2d9e', 'cfaf1e89-c9a9-4614-a08f-f6a340c4695e']",Practical Bayesian model evaluation using leave-one-out cross-validation and WAIC,Statistics and Computing,2017,4885462b-0f87-46ac-b6bf-4de56b93ac5f
"Understanding and predicting the human visual attentional mechanism is an active area of research in the fields of neuroscience and computer vision. In this work, we propose DeepFix, a first-of-its-kind fully convolutional neural network for accurate saliency prediction. Unlike classical works which char- acterize the saliency map using various hand-crafted features, our model automatically learns features in a hierarchical fashion and predicts saliency map in an end-to-end manner. DeepFix is designed to capture semantics at multiple scales while taking global context into account using network layers with very large receptive fields. Generally, fully convolutional nets are spatially invariant which prevents them from modeling location dependent patterns (e.g. centre-bias). Our network overcomes this limitation by incorporating a novel Location Biased Convolutional layer. We evaluate our model on two challenging eye fixation datasets - MIT300, CAT2000 and show that it outperforms other recent approaches by a significant margin.","['Srinivas S S Kruthiventi', 'Kumar Ayush', 'R. Venkatesh Babu']",88,"['051956bb-f64b-4fdb-87f8-3e2868b8b5d8', '08e8de4a-dc12-4d2f-b581-585b756c4203', '153c5014-dc7a-44a8-a93f-5cd27f1193df', '1d1175f5-040c-407a-9873-8a77dc5d2252', '23366f5e-69e8-442d-b4ef-2903c7b62d83', '3b23400e-aa6d-4ee3-b17c-82c04d98d157', '3dbaa7b6-c17e-4a70-9bce-1eaafed0a74c', '405a8b52-1dc4-4320-8840-9eb7f601413f', '47e20669-55b1-4e50-9ef2-e9f0496ce79a', '493f502b-b1b8-412c-95fd-3c1103480f1d', '51e3101a-64c6-4fc8-b188-d35812f41e8b', '5eddde6d-2709-490a-a395-7a12b77881ee', '6d121e97-e351-4cf9-8c44-d7ab3ce9d9fe', '72640ec0-e5e8-4b68-9508-f8a7edfcc343', '781f7e76-a262-41f0-b778-ba127f6b2ecf', '826bd128-4189-4e04-8e8d-d2ebfd68c432', '8393dc0f-928e-4190-bc93-26ec46b1730a', '86b626a6-f948-45ea-8e92-8102e0dc5ef8', '88e2f209-28c2-4dcf-b914-b8b2224c800a', '8db12848-56b4-4381-a49f-77c6c07c521f', '910a1aa9-086a-4a91-b3b1-6a434fcfb7eb', '95c111f4-55d0-455e-884a-4485ff03b494', '9a3b540c-458d-4e3d-aa10-8b247e4904bd', 'b0315d22-968c-4aee-b9c7-5560a93ff33f', 'bf248c6c-2c05-4101-9a38-35460518f9d7', 'c2070fd0-3a2a-40cd-a947-d10c7a95216e', 'c3efd873-eb4e-4830-b051-f3d1c3b1d30f', 'c93eac1a-7d9a-48ab-9fb4-389c85bea00e', 'cb5994f2-6dee-4ad1-a7f2-ddbf4a1413e4', 'cbe5af11-472e-4046-93b0-2ca6c3994748', 'dfaad3ca-6df9-4c68-88de-3842b57edd3e', 'e2f7a74a-8430-4463-94ce-fe85dfd309f9', 'e7978e39-122b-48db-a98c-1cff042f42c9', 'ea4ac557-1b4a-429f-bcaf-1c23b33bd508', 'faab6531-bbf5-4812-9171-f1157a501bbe', 'fdf07bf5-5cf8-4498-98ae-79210a650979']",DeepFix: A Fully Convolutional Neural Network for predicting Human Eye Fixations,IEEE Transactions on Image Processing,2017,8fbe6991-5ca2-469a-978d-5d868905a729
"Graphs are a central tool in machine learning and information processing as they allow to conveniently capture the structure of complex datasets. In this context, it is of high importance to develop flexible models of signals defined over graphs or networks. In this paper, we generalize the traditional concept of wide sense stationarity to signals defined over the vertices of arbitrary weighted undirected graphs. We show that stationarity is expressed through the graph localization operator reminiscent of translation. We prove that stationary graph signals are characterized by a well-defined power spectral density that can be efficiently estimated even for large graphs. We leverage this new concept to derive Wiener-type estimation procedures of noisy and partially observed signals and illustrate the performance of this new model for denoising and regression.","['Nathanael Perraudin', 'Pierre Vandergheynst']",55,"['0e79328d-09ed-42e7-9de3-899dced383bd', '109367fa-db04-4db0-8777-d6ca7e9e78fd', '10ed1ed6-52d9-4e0a-829f-f9c7a358efcc', '13b3828e-03de-4d8d-b6e0-294627aa2bf9', '22c27384-86f8-4bc6-9f33-7d367b72a318', '2e0f0fb4-7d92-4180-a1af-d3ead29845a1', '35d11ce1-51ad-4c8e-91ad-9a116f1b5c32', '42e257d8-9007-4a8f-a480-90278ccca96f', '494b497b-836b-445a-8bcb-095600835d89', '52e55346-2fb4-45a8-9e50-db06f3343982', '58b923df-87dc-4b50-afe8-004f65de4b8f', '5fc7c376-5895-490a-8ea2-989442940c7b', '623d2a5e-3e87-4c96-a86d-7d450bc10d06', '680445e3-1636-44f9-a741-ad63023dc6cc', '6a4cfce2-97e8-49c2-bb33-b28da619b6c4', '6deca43c-4e0c-4240-9c33-0e6df1572143', '77453308-7a4a-4444-889a-58dea8fa237d', '96d1fe80-2a7d-4372-90df-a8f37ea96ec7', '99cea601-f47c-4ac9-9b10-7c80b22a138b', '9b82c152-d039-466f-815f-099cec4bfe45', 'a53b90f9-30c9-4d99-aa0e-4a123f3784aa', 'bf24d6ff-36db-4de5-bca4-ba315538c0b4', 'da6a7ef9-e404-4176-bd73-fd91e436af18', 'ec951ab6-d1ea-49a2-9164-887c23d83ac6']",Stationary Signal Processing on Graphs,IEEE Transactions on Signal Processing,2017,569a88ac-f3c1-4153-a333-7b7902d942c7
"Despite progress in perceptual tasks such as image classification, computers still perform poorly on cognitive tasks such as image description and question answering. Cognition is core to tasks that involve not just recognizing, but reasoning about our visual world. However, models used to tackle the rich content in images for cognitive tasks are still being trained using the same datasets designed for perceptual tasks. To achieve success at cognitive tasks, models need to understand the interactions and relationships between objects in an image. When asked â€œWhat vehicle is the person riding?â€, computers will need to identify the objects in an image as well as the relationships riding(man, carriage) and pulling(horse, carriage) to answer correctly that â€œthe person is riding a horse-drawn carriage.â€ In this paper, we present the Visual Genome dataset to enable the modeling of such relationships. We collect dense annotations of objects, attributes, and relationships within each image to learn these models. Specifically, our dataset contains over 108K images where each image has an average of \(35\) objects, \(26\) attributes, and \(21\) pairwise relationships between objects. We canonicalize the objects, attributes, relationships, and noun phrases in region descriptions and questions answer pairs to WordNet synsets. Together, these annotations represent the densest and largest dataset of image descriptions, objects, attributes, relationships, and question answer pairs.","['Ranjay Krishna', 'Yuke Zhu', 'Oliver Groth', 'Justin Johnson', 'Kenji Hata', 'Joshua Kravitz', 'Stephanie Chen', 'Yannis Kalantidis', 'Li-Jia Li', 'David A. Shamma', 'Michael S. Bernstein', 'Fei-Fei Li']",100,"['0037b002-ce2f-42a3-b553-c577708293c1', '007e432d-d869-4676-9dbb-fbdd775f6e02', '01a74561-04d4-4099-866f-ff2c73b7d9eb', '027d7583-49f5-4f5a-a503-e39df0907e03', '02e2ce02-467b-402f-b3d6-d1a109df125a', '031bbeb0-4dc1-46f9-9984-109c3b3eefae', '051956bb-f64b-4fdb-87f8-3e2868b8b5d8', '096b2319-7282-4964-9136-52bc12348bc3', '0d60a7b8-b904-4dd3-ad20-73f403c407f7', '0e5043eb-5141-467f-90dd-8998d22c9b15', '0fb0a842-cb06-4b37-9738-a4d18a55ec23', '0fc5bc33-b42c-456e-9fdf-de2375d47c91', '10d63c1a-774e-44e3-b026-a591883762b5', '1268112c-a3a5-411d-9469-c9937aed533e', '12f40b38-cd99-4801-8074-d765a29a2101', '153c5014-dc7a-44a8-a93f-5cd27f1193df', '16141314-c832-4078-996c-0c1b1cdc6510', '176a7436-78ea-4c2a-82e6-7930ab023bd1', '19b1da27-772e-4981-97ad-49dfb3d0c28e', '1cc78414-8300-431a-9a2a-d51b81cdb520', '1dcec70d-a9ff-4eff-801d-0c29532fe46e', '20a01800-4eee-415b-b8be-94f208f17aaa', '29b27984-ff06-4c52-a744-a205bad37fc4', '2a20e5b6-229c-49f8-a175-e71cdd747f9b', '2a4c74f6-7356-4e2b-b033-bd1aed30d669', '2b6a3d0f-368f-45bb-be23-4e82f62fbbf7', '2bc0a8d0-0dbc-433d-969d-5c1de6c517ed', '2eb5d52e-8771-4a89-8618-d9f818315bb4', '31bda12f-1eb1-4e9b-a6d5-cb9da235e1fe', '32a53bab-1ede-4869-98ad-d2ff0c1e3367', '32fac192-89d7-4cb2-b6c6-f1a4e5fc9bbf', '3fd118da-ba8e-4783-b97a-cade6f3614fb', '436be094-f068-4527-92e8-3a2478052a15', '450d7769-89ba-4e02-ad2a-9ddf30099296', '493f502b-b1b8-412c-95fd-3c1103480f1d', '542de443-0763-4cd3-93d1-ab8cace0afe0', '5538ff5c-0f37-4ab4-88c1-f348e8cb1440', '59326f5c-20ef-4a94-b713-f3b8010f4760', '5cf21bc5-1d26-4705-9b59-0a6200928a9f', '64048b91-680a-450f-a90d-a61f35cc8062', '64c51e42-80ec-4185-98dd-e3e3f7416145', '64f188d9-d5d1-49de-803e-ba727af018af', '7030d6a2-aed0-4079-9bb7-a656ee3e6f78', '70e50af0-480b-4062-99ac-6fa0c4861081', '719a5559-b6be-48d2-8375-7387992f06f1', '72aa6200-7589-4f16-b9f1-7ae795c87d1a', '7726c518-e223-429a-8b3e-a56223e6c962', '78a7e13c-0840-4954-8e16-60ccfb410442', '7e61c3d9-cd7c-47b3-9728-f8f2d2fd2953', '7e74d6d8-c80c-4d71-b36d-10763a1603b3', '81163e27-8feb-48e0-b21b-a69d8555e64c', '83b5f915-3c65-42f4-a002-562f4d1f2cbc', '83c737b8-e084-4766-ba6e-131e6a1c017c', '861f8721-e382-4ae0-9dbf-64124f09e401', '8ea91ca5-2b11-4e05-bcdb-95031e886e33', '8fa389f5-22aa-4e3b-8ade-834c298fd14f', '94bda6d8-0d93-4ad6-970e-9628120b7250', '95c111f4-55d0-455e-884a-4485ff03b494', '96c6e601-8010-476d-9ea4-f13118313dac', '9aea2ad1-64c1-4e32-b991-1333e5b60a13', '9b88deb9-b2d2-4cd3-b49e-d1abceae1ee3', '9e4859ce-16a8-4d7f-ba0d-21fe49950105', 'a10d7a7a-ecd3-49b5-9cfa-9983dac285eb', 'a57036af-3fa0-4b14-bd9a-ff521a24d198', 'a5ddc70a-af08-4a77-b08a-09dd39a5f46a', 'a6ee5009-aebc-4cda-8ef9-d855297b949c', 'a716e9f5-1272-409f-b3b4-80f420ff7042', 'a72d70e0-d950-45ef-94db-f978ae6013ea', 'adee63a7-1b65-49e5-b727-6e2f2889404b', 'aeb0f8be-f19a-4ed7-9708-28607ed89adf', 'b2b5130e-db56-4f57-ad24-1e28dfd4f2dc', 'ba963abd-707d-4657-afdb-325986098ce9', 'be6dc452-1ad2-4415-b39f-fa87e6b06cb2', 'c70d7255-6afb-4c05-a549-8a76c59aeca2', 'c9cb9bb4-d7d8-4168-aed9-2882e041041d', 'cccb4b4b-ce7f-4b1f-b68c-cab108f3cecf', 'cefc68c6-fe0f-448a-84cf-33f4e7464394', 'd46ab655-7e66-4615-be58-d706f085b8a2', 'dc1d12f5-b9f0-4425-b6ec-1eb018aed956', 'dd0c501c-5f83-4e1d-977e-27f0c338227c', 'e2f7a74a-8430-4463-94ce-fe85dfd309f9', 'e695815c-3820-4d04-890c-40828745d56b', 'eef0737f-f581-4c8c-83b6-2c4e5db2a6aa', 'f1c460ee-4ea3-45e2-aa0c-34c3f88676dc', 'f64b4ead-83c4-41f2-9326-b3f9faed8106', 'f743c7ed-8e72-4448-b2cc-33fb39f63611', 'f7ed80ad-be57-45ca-82d5-4ace810eed95', 'f9d23933-e1c8-4fec-b951-922be2c1b695', 'fba87073-89bb-4686-82f9-585e97e78325', 'fbdfc1ca-09ef-47f8-a0d1-adaf626a8562', 'fc969b34-ce5f-40f7-a915-ac1889c6e4a1', 'fcde55de-01c4-4f60-93a6-8ae4acc5be7b']",Visual Genome: Connecting Language and Vision Using Crowdsourced Dense Image Annotations,International Journal of Computer Vision,2017,3f459840-bb34-48f6-a1ec-d4d3d4fd28cb
"Nowadays, crowd-sourced review websites provide decision support for various aspects of daily life, including shopping, local services, healthcare, etc. However, one of the most important challenges for existing healthcare review websites is the lack of personalized and professionalized guidelines for users to choose medical services. In this paper, we develop a novel healthcare recommendation system called iDoctor, which is based on hybrid matrix factorization methods. iDoctor differs from previous work in the following aspects: (1) emotional offset of user reviews can be unveiled by sentiment analysis and be utilized to revise original user ratings; (2) user preference and doctor feature are extracted by Latent Dirichlet Allocation and incorporated into conventional matrix factorization. We compare iDoctor with previous healthcare recommendation methods using real datasets. The experimental results show that iDoctor provides a higher predication rating and increases the accuracy of healthcare recommendation significantly.","['Yin Zhang', 'Min Chen', 'Dijiang Huang', 'Di Wu', 'Yong Li']",69,"['204b94d3-bd3c-41ef-b88c-b86be563a728', '3198b19a-e071-4928-8409-3c9fae4a4e67', '3c51af08-134e-4881-8c69-59fa96d4e7bc', '449a87b6-4435-48f1-b433-7c71a2a6b6eb', '4a0edd74-3f6b-4827-8509-45b435eb6b1e', '4a8a7350-9687-4360-a3f4-6b1521a303c7', '609d91d9-aa28-4c41-85e1-5740fc4d880f', '765a3c6d-fca1-4140-9199-bc7a3307b26d', '853550c8-58f0-41e8-90ac-512bc6841b24', '85847434-179b-4bbf-a19a-ee90b05ba42c', '885618f1-5a44-4670-9466-ac59d78cd8e6', '8ed8b55d-e6af-436b-bee2-a7fb1119381c', 'afaee3cb-390a-4b89-9dbf-c053399f906a', 'bb313ac7-7708-4af3-a3a1-d82f6e0e1a69', 'be7fb7ab-33f9-4f05-8404-ddb18137eb3c', 'beaaecba-14eb-4284-8d06-075de9364c13', 'e682e71e-0a54-4fd9-b554-d9ef556afebf', 'eb0a53e4-4e2b-46f3-8b9c-530c845fff4f', 'f222aa50-5503-4871-8060-c20c479e3653']",IDoctor: Personalized and professionalized medical recommendations based on hybrid matrix factorization,Future Generation Computer Systems,2017,4b925d46-d4fe-4325-8a1d-74adc85e828c
